Chamber 1 Data File
C:\Users\UT South Western MC\Documents\MED Associates\MEDCMG\mouse 080923_Chamber 1.txt
IR= 6.0  SD= 14.50  MP= 170.67 mm Hg
mouse peed right before start 
08/09/2023 09:49:12 AM
Elapsed Time	Motion	Scale	Infused Vol	Tot Infused Vol	Bladder Pressure	Last Void	Tot Void	Rate	Event	Comments
0.25	1	0.194	0.0	0.0	32.1	0.0	0.0	6.000000	1	
0.50	0	0.194	0.1	0.1	32.5	0.0	0.0	6.000000	0	
0.75	0	0.194	0.1	0.1	32.4	0.0	0.0	6.000000	0	
1.00	0	0.194	0.1	0.1	32.6	0.0	0.0	6.000000	0	
1.25	0	0.194	0.1	0.1	33.2	0.0	0.0	6.000000	0	
1.50	0	0.194	0.1	0.1	33.2	0.0	0.0	6.000000	0	
1.75	0	0.194	0.2	0.2	33.0	0.0	0.0	6.000000	0	
2.00	0	0.194	0.2	0.2	32.5	0.0	0.0	6.000000	0	
2.25	0	0.194	0.2	0.2	32.5	0.0	0.0	6.000000	0	
2.50	0	0.194	0.2	0.2	32.5	0.0	0.0	6.000000	0	
2.75	0	0.194	0.3	0.3	32.5	0.0	0.0	6.000000	0	
3.00	0	0.194	0.3	0.3	32.5	0.0	0.0	6.000000	0	
3.25	0	0.194	0.3	0.3	32.5	0.0	0.0	6.000000	0	
3.50	0	0.194	0.4	0.4	32.5	0.0	0.0	6.000000	0	
3.75	0	0.194	0.4	0.4	32.5	0.0	0.0	6.000000	0	
4.00	0	0.194	0.4	0.4	32.5	0.0	0.0	6.000000	0	
4.25	0	0.194	0.4	0.4	33.2	0.0	0.0	6.000000	0	
4.50	0	0.194	0.5	0.5	33.0	0.0	0.0	6.000000	0	
4.75	0	0.194	0.5	0.5	33.3	0.0	0.0	6.000000	0	
5.00	0	0.194	0.5	0.5	33.2	0.0	0.0	6.000000	0	
5.25	0	0.194	0.5	0.5	33.1	0.0	0.0	6.000000	0	
5.50	0	0.194	0.6	0.6	33.1	0.0	0.0	6.000000	0	
5.75	0	0.194	0.6	0.6	32.8	0.0	0.0	6.000000	0	
6.00	0	0.194	0.6	0.6	33.2	0.0	0.0	6.000000	0	
6.25	0	0.194	0.6	0.6	33.0	0.0	0.0	6.000000	0	
6.50	0	0.194	0.7	0.7	32.8	0.0	0.0	6.000000	0	
6.75	0	0.194	0.7	0.7	33.0	0.0	0.0	6.000000	0	
7.00	0	0.194	0.7	0.7	32.7	0.0	0.0	6.000000	0	
7.25	0	0.194	0.7	0.7	32.6	0.0	0.0	6.000000	0	
7.50	0	0.194	0.8	0.8	32.5	0.0	0.0	6.000000	0	
7.75	0	0.194	0.8	0.8	32.5	0.0	0.0	6.000000	0	
8.00	0	0.194	0.8	0.8	32.5	0.0	0.0	6.000000	0	
8.25	0	0.194	0.8	0.8	32.5	0.0	0.0	6.000000	0	
8.50	0	0.194	0.9	0.9	32.5	0.0	0.0	6.000000	0	
8.75	0	0.194	0.9	0.9	32.4	0.0	0.0	6.000000	0	
9.00	0	0.194	0.9	0.9	31.9	0.0	0.0	6.000000	0	
9.25	0	0.194	0.9	0.9	32.3	0.0	0.0	6.000000	0	
9.50	0	0.194	1.0	1.0	32.5	0.0	0.0	6.000000	0	
9.75	0	0.194	1.0	1.0	32.5	0.0	0.0	6.000000	0	
10.00	0	0.194	1.0	1.0	32.5	0.0	0.0	6.000000	0	
10.25	0	0.194	1.0	1.0	32.5	0.0	0.0	6.000000	0	
10.50	0	0.194	1.1	1.1	32.5	0.0	0.0	6.000000	0	
10.75	0	0.194	1.1	1.1	32.5	0.0	0.0	6.000000	0	
11.00	0	0.194	1.1	1.1	32.5	0.0	0.0	6.000000	0	
11.25	0	0.194	1.1	1.1	32.3	0.0	0.0	6.000000	0	
