Chamber 1 Data File
C:\Users\UT South Western MC\Documents\MED Associates\MEDCMG\mouse 2 091423_Chamber 1.txt
IR= 6.0  SD= 14.50  MP= 163.84 mm Hg
09/14/2023 01:45:51 PM
Elapsed Time	Motion	Scale	Infused Vol	Tot Infused Vol	Bladder Pressure	Last Void	Tot Void	Rate	Event	Comments
0.25	1	0.028	0.0	0.0	20.8	0.0	0.0	6.000000	1	
0.50	0	0.028	0.1	0.1	21.0	0.0	0.0	6.000000	0	
0.75	0	0.028	0.1	0.1	21.8	0.0	0.0	6.000000	0	
1.00	0	0.028	0.1	0.1	22.4	0.0	0.0	6.000000	0	
1.25	0	0.028	0.1	0.1	23.2	0.0	0.0	6.000000	0	
1.50	0	0.028	0.1	0.1	24.0	0.0	0.0	6.000000	0	
1.75	0	0.028	0.2	0.2	24.5	0.0	0.0	6.000000	0	
2.00	0	0.028	0.2	0.2	24.8	0.0	0.0	6.000000	0	
2.25	0	0.028	0.2	0.2	24.8	0.0	0.0	6.000000	0	
2.50	0	0.028	0.2	0.2	25.3	0.0	0.0	6.000000	0	
2.75	0	0.028	0.3	0.3	25.6	0.0	0.0	6.000000	0	
3.00	0	0.028	0.3	0.3	26.4	0.0	0.0	6.000000	0	
3.25	0	0.028	0.3	0.3	26.5	0.0	0.0	6.000000	0	
3.50	0	0.028	0.4	0.4	27.0	0.0	0.0	6.000000	0	
3.75	0	0.028	0.4	0.4	27.1	0.0	0.0	6.000000	0	
4.00	0	0.028	0.4	0.4	27.2	0.0	0.0	6.000000	0	
4.25	0	0.028	0.4	0.4	27.2	0.0	0.0	6.000000	0	
4.50	0	0.028	0.5	0.5	27.2	0.0	0.0	6.000000	0	
4.75	0	0.028	0.5	0.5	27.4	0.0	0.0	6.000000	0	
5.00	0	0.028	0.5	0.5	27.9	0.0	0.0	6.000000	0	
5.25	0	0.028	0.5	0.5	28.0	0.0	0.0	6.000000	0	
5.50	1	0.000	0.6	0.6	28.0	0.0	0.0	6.000000	0	
5.75	0	0.000	0.6	0.6	28.0	0.0	0.0	6.000000	0	
6.00	0	0.000	0.6	0.6	28.7	0.0	0.0	6.000000	0	
6.25	0	0.000	0.6	0.6	28.8	0.0	0.0	6.000000	0	
6.50	0	0.000	0.7	0.7	28.8	0.0	0.0	6.000000	0	
6.75	0	0.000	0.7	0.7	28.9	0.0	0.0	6.000000	0	
7.00	0	0.000	0.7	0.7	29.0	0.0	0.0	6.000000	0	
7.25	0	0.000	0.7	0.7	29.4	0.0	0.0	6.000000	0	
7.50	0	0.000	0.8	0.8	29.3	0.0	0.0	6.000000	0	
7.75	0	0.000	0.8	0.8	29.6	0.0	0.0	6.000000	0	
8.00	0	0.000	0.8	0.8	29.6	0.0	0.0	6.000000	0	
8.25	0	0.000	0.8	0.8	29.6	0.0	0.0	6.000000	0	
8.50	0	0.000	0.9	0.9	29.6	0.0	0.0	6.000000	0	
8.75	0	0.000	0.9	0.9	29.6	0.0	0.0	6.000000	0	
9.00	0	0.000	0.9	0.9	29.6	0.0	0.0	6.000000	0	
9.25	0	0.000	0.9	0.9	29.7	0.0	0.0	6.000000	0	
9.50	0	0.000	1.0	1.0	30.1	0.0	0.0	6.000000	0	
9.75	0	0.000	1.0	1.0	30.4	0.0	0.0	6.000000	0	
10.00	0	0.000	1.0	1.0	30.3	0.0	0.0	6.000000	0	
10.25	0	0.000	1.0	1.0	29.9	0.0	0.0	6.000000	0	
10.50	0	0.000	1.1	1.1	29.6	0.0	0.0	6.000000	0	
10.75	0	0.000	1.1	1.1	29.6	0.0	0.0	6.000000	0	
11.00	0	-0.001	1.1	1.1	29.6	0.0	0.0	6.000000	0	
11.25	0	-0.001	1.1	1.1	29.6	0.0	0.0	6.000000	0	
11.50	0	0.000	1.1	1.1	29.2	0.0	0.0	6.000000	0	
11.75	0	0.000	1.2	1.2	28.8	0.0	0.0	6.000000	0	
12.00	0	0.000	1.2	1.2	28.8	0.0	0.0	6.000000	0	
12.25	0	0.000	1.2	1.2	28.8	0.0	0.0	6.000000	0	
12.50	0	0.000	1.2	1.2	28.8	0.0	0.0	6.000000	0	
12.75	0	0.000	1.3	1.3	28.8	0.0	0.0	6.000000	0	
13.00	0	0.000	1.3	1.3	28.8	0.0	0.0	6.000000	0	
13.25	0	0.000	1.3	1.3	28.5	0.0	0.0	6.000000	0	
13.50	0	0.000	1.3	1.3	28.3	0.0	0.0	6.000000	0	
13.75	0	0.000	1.4	1.4	28.0	0.0	0.0	6.000000	0	
14.00	0	0.000	1.4	1.4	28.0	0.0	0.0	6.000000	0	
14.25	0	0.000	1.4	1.4	28.0	0.0	0.0	6.000000	0	
14.50	0	0.000	1.4	1.4	28.0	0.0	0.0	6.000000	0	
14.75	0	0.000	1.5	1.5	28.0	0.0	0.0	6.000000	0	
15.00	0	0.000	1.5	1.5	28.0	0.0	0.0	6.000000	0	
15.25	0	0.000	1.5	1.5	28.0	0.0	0.0	6.000000	0	
15.50	0	0.000	1.5	1.5	28.0	0.0	0.0	6.000000	0	
15.75	0	0.000	1.6	1.6	28.0	0.0	0.0	6.000000	0	
16.00	0	0.000	1.6	1.6	28.0	0.0	0.0	6.000000	0	
16.25	0	0.000	1.6	1.6	28.0	0.0	0.0	6.000000	0	
16.50	0	0.000	1.6	1.6	27.9	0.0	0.0	6.000000	0	
16.75	0	0.000	1.7	1.7	27.8	0.0	0.0	6.000000	0	
17.00	0	0.000	1.7	1.7	27.7	0.0	0.0	6.000000	0	
17.25	0	0.000	1.7	1.7	27.2	0.0	0.0	6.000000	0	
17.50	0	0.000	1.7	1.7	27.3	0.0	0.0	6.000000	0	
17.75	0	0.000	1.8	1.8	27.3	0.0	0.0	6.000000	0	
18.00	0	0.000	1.8	1.8	27.3	0.0	0.0	6.000000	0	
18.25	0	0.000	1.8	1.8	27.2	0.0	0.0	6.000000	0	
18.50	0	0.000	1.8	1.8	27.2	0.0	0.0	6.000000	0	
18.75	0	0.000	1.9	1.9	27.2	0.0	0.0	6.000000	0	
19.00	0	0.000	1.9	1.9	27.2	0.0	0.0	6.000000	0	
19.25	0	0.000	1.9	1.9	27.2	0.0	0.0	6.000000	0	
19.50	0	0.000	1.9	1.9	27.2	0.0	0.0	6.000000	0	
19.75	0	0.000	2.0	2.0	27.2	0.0	0.0	6.000000	0	
20.00	0	0.000	2.0	2.0	27.2	0.0	0.0	6.000000	0	
20.25	0	0.000	2.0	2.0	27.2	0.0	0.0	6.000000	0	
20.50	0	0.000	2.0	2.0	27.2	0.0	0.0	6.000000	0	
20.75	0	0.000	2.1	2.1	27.1	0.0	0.0	6.000000	0	
21.00	0	0.000	2.1	2.1	27.1	0.0	0.0	6.000000	0	
21.25	0	0.000	2.1	2.1	27.2	0.0	0.0	6.000000	0	
21.50	0	0.000	2.1	2.1	27.0	0.0	0.0	6.000000	0	
21.75	0	0.000	2.2	2.2	26.7	0.0	0.0	6.000000	0	
22.00	0	0.000	2.2	2.2	26.4	0.0	0.0	6.000000	0	
22.25	0	0.000	2.2	2.2	26.4	0.0	0.0	6.000000	0	
22.50	0	0.000	2.2	2.2	26.4	0.0	0.0	6.000000	0	
22.75	0	0.000	2.3	2.3	26.4	0.0	0.0	6.000000	0	
23.00	0	0.000	2.3	2.3	26.4	0.0	0.0	6.000000	0	
23.25	0	0.000	2.3	2.3	26.4	0.0	0.0	6.000000	0	
23.50	0	0.000	2.3	2.3	26.4	0.0	0.0	6.000000	0	
23.75	0	0.000	2.4	2.4	26.4	0.0	0.0	6.000000	0	
24.00	0	0.000	2.4	2.4	26.4	0.0	0.0	6.000000	0	
24.25	0	0.000	2.4	2.4	26.4	0.0	0.0	6.000000	0	
24.50	0	0.000	2.4	2.4	26.4	0.0	0.0	6.000000	0	
24.75	0	0.000	2.5	2.5	26.7	0.0	0.0	6.000000	0	
25.00	0	0.000	2.5	2.5	27.2	0.0	0.0	6.000000	0	
25.25	0	0.000	2.5	2.5	27.6	0.0	0.0	6.000000	0	
25.50	0	0.000	2.5	2.5	28.0	0.0	0.0	6.000000	0	
25.75	0	0.000	2.6	2.6	27.9	0.0	0.0	6.000000	0	
26.00	0	0.000	2.6	2.6	27.9	0.0	0.0	6.000000	0	
26.25	0	-0.001	2.6	2.6	27.9	0.0	0.0	6.000000	0	
26.50	0	-0.001	2.6	2.6	27.4	0.0	0.0	6.000000	0	
26.75	0	-0.001	2.7	2.7	27.2	0.0	0.0	6.000000	0	
27.00	0	-0.001	2.7	2.7	27.2	0.0	0.0	6.000000	0	
27.25	0	-0.001	2.7	2.7	27.2	0.0	0.0	6.000000	0	
27.50	0	-0.001	2.7	2.7	26.7	0.0	0.0	6.000000	0	
27.75	0	-0.001	2.8	2.8	26.6	0.0	0.0	6.000000	0	
28.00	0	-0.001	2.8	2.8	26.5	0.0	0.0	6.000000	0	
28.25	0	-0.001	2.8	2.8	26.4	0.0	0.0	6.000000	0	
28.50	0	-0.001	2.8	2.8	26.4	0.0	0.0	6.000000	0	
28.75	0	-0.001	2.9	2.9	26.4	0.0	0.0	6.000000	0	
29.00	0	-0.001	2.9	2.9	26.4	0.0	0.0	6.000000	0	
29.25	0	-0.001	2.9	2.9	26.3	0.0	0.0	6.000000	0	
29.50	0	-0.001	2.9	2.9	26.4	0.0	0.0	6.000000	0	
29.75	0	-0.001	3.0	3.0	26.1	0.0	0.0	6.000000	0	
30.00	0	-0.002	3.0	3.0	25.8	0.0	0.0	6.000000	0	
30.25	0	-0.002	3.0	3.0	25.6	0.0	0.0	6.000000	0	
30.50	0	-0.002	3.0	3.0	25.6	0.0	0.0	6.000000	0	
30.75	0	-0.002	3.1	3.1	25.6	0.0	0.0	6.000000	0	
31.00	0	-0.002	3.1	3.1	25.6	0.0	0.0	6.000000	0	
31.25	0	-0.002	3.1	3.1	25.6	0.0	0.0	6.000000	0	
31.50	0	-0.002	3.1	3.1	25.6	0.0	0.0	6.000000	0	
31.75	0	-0.002	3.2	3.2	25.6	0.0	0.0	6.000000	0	
32.00	0	-0.002	3.2	3.2	25.6	0.0	0.0	6.000000	0	
32.25	0	-0.002	3.2	3.2	25.6	0.0	0.0	6.000000	0	
32.50	0	-0.002	3.2	3.2	25.6	0.0	0.0	6.000000	0	
32.75	0	-0.002	3.3	3.3	25.6	0.0	0.0	6.000000	0	
33.00	0	-0.002	3.3	3.3	25.4	0.0	0.0	6.000000	0	
33.25	0	-0.001	3.3	3.3	25.5	0.0	0.0	6.000000	0	
33.50	0	-0.001	3.3	3.3	25.1	0.0	0.0	6.000000	0	
33.75	0	-0.001	3.4	3.4	25.1	0.0	0.0	6.000000	0	
34.00	0	-0.001	3.4	3.4	24.9	0.0	0.0	6.000000	0	
34.25	0	-0.001	3.4	3.4	24.9	0.0	0.0	6.000000	0	
34.50	0	-0.001	3.4	3.4	24.9	0.0	0.0	6.000000	0	
34.75	0	-0.001	3.5	3.5	24.8	0.0	0.0	6.000000	0	
35.00	0	-0.001	3.5	3.5	24.8	0.0	0.0	6.000000	0	
35.25	0	-0.001	3.5	3.5	24.8	0.0	0.0	6.000000	0	
35.50	0	-0.001	3.5	3.5	24.8	0.0	0.0	6.000000	0	
35.75	0	-0.001	3.6	3.6	24.8	0.0	0.0	6.000000	0	
36.00	0	-0.001	3.6	3.6	24.6	0.0	0.0	6.000000	0	
36.25	0	-0.001	3.6	3.6	24.8	0.0	0.0	6.000000	0	
36.50	0	-0.001	3.6	3.6	24.8	0.0	0.0	6.000000	0	
36.75	0	-0.001	3.7	3.7	24.8	0.0	0.0	6.000000	0	
37.00	0	-0.001	3.7	3.7	24.7	0.0	0.0	6.000000	0	
37.25	0	-0.001	3.7	3.7	24.5	0.0	0.0	6.000000	0	
37.50	0	-0.001	3.7	3.7	24.7	0.0	0.0	6.000000	0	
37.75	0	-0.001	3.8	3.8	25.2	0.0	0.0	6.000000	0	
38.00	0	-0.001	3.8	3.8	25.6	0.0	0.0	6.000000	0	
38.25	0	-0.001	3.8	3.8	26.0	0.0	0.0	6.000000	0	
38.50	0	-0.001	3.8	3.8	26.4	0.0	0.0	6.000000	0	
38.75	0	-0.001	3.9	3.9	26.8	0.0	0.0	6.000000	0	
39.00	0	-0.001	3.9	3.9	27.2	0.0	0.0	6.000000	0	
39.25	0	-0.001	3.9	3.9	27.3	0.0	0.0	6.000000	0	
39.50	0	-0.001	3.9	3.9	27.9	0.0	0.0	6.000000	0	
39.75	0	-0.001	4.0	4.0	28.1	0.0	0.0	6.000000	0	
40.00	0	-0.001	4.0	4.0	28.7	0.0	0.0	6.000000	0	
40.25	0	-0.001	4.0	4.0	28.8	0.0	0.0	6.000000	0	
40.50	0	-0.001	4.0	4.0	29.3	0.0	0.0	6.000000	0	
40.75	0	-0.001	4.1	4.1	29.6	0.0	0.0	6.000000	0	
41.00	0	-0.001	4.1	4.1	29.7	0.0	0.0	6.000000	0	
41.25	0	-0.001	4.1	4.1	30.3	0.0	0.0	6.000000	0	
41.50	0	-0.001	4.1	4.1	30.4	0.0	0.0	6.000000	0	
41.75	0	-0.001	4.2	4.2	30.7	0.0	0.0	6.000000	0	
42.00	0	-0.001	4.2	4.2	31.1	0.0	0.0	6.000000	0	
42.25	0	-0.001	4.2	4.2	31.2	0.0	0.0	6.000000	0	
42.50	0	-0.001	4.2	4.2	30.9	0.0	0.0	6.000000	0	
42.75	0	-0.001	4.3	4.3	30.4	0.0	0.0	6.000000	0	
43.00	0	-0.001	4.3	4.3	30.4	0.0	0.0	6.000000	0	
43.25	0	-0.001	4.3	4.3	30.3	0.0	0.0	6.000000	0	
43.50	0	-0.001	4.3	4.3	29.6	0.0	0.0	6.000000	0	
43.75	0	-0.001	4.4	4.4	29.5	0.0	0.0	6.000000	0	
44.00	0	-0.001	4.4	4.4	28.8	0.0	0.0	6.000000	0	
44.25	0	-0.001	4.4	4.4	28.6	0.0	0.0	6.000000	0	
44.50	0	-0.001	4.4	4.4	28.0	0.0	0.0	6.000000	0	
44.75	0	-0.001	4.5	4.5	27.7	0.0	0.0	6.000000	0	
45.00	0	-0.001	4.5	4.5	27.2	0.0	0.0	6.000000	0	
45.25	0	-0.001	4.5	4.5	26.8	0.0	0.0	6.000000	0	
45.50	0	-0.001	4.5	4.5	26.4	0.0	0.0	6.000000	0	
45.75	0	-0.001	4.6	4.6	25.7	0.0	0.0	6.000000	0	
46.00	0	-0.001	4.6	4.6	25.5	0.0	0.0	6.000000	0	
46.25	0	-0.001	4.6	4.6	24.9	0.0	0.0	6.000000	0	
46.50	0	-0.001	4.6	4.6	24.8	0.0	0.0	6.000000	0	
46.75	0	-0.001	4.7	4.7	24.4	0.0	0.0	6.000000	0	
47.00	0	-0.001	4.7	4.7	24.0	0.0	0.0	6.000000	0	
47.25	0	-0.001	4.7	4.7	23.7	0.0	0.0	6.000000	0	
47.50	0	-0.001	4.8	4.8	23.2	0.0	0.0	6.000000	0	
47.75	0	-0.001	4.8	4.8	23.2	0.0	0.0	6.000000	0	
