Chamber,1,Data,File,,
C:\Users\UT,South,Western,MC\Documents\MED,Associates\MEDCMG\mouse,1
IR=,6,SD=,14.5,MP=,67.37
9/14/23,8:48:26,AM,,,
Time,Motion,Scale,Vol,Vol,Pressure
0.25,1,896.344,0,0,12.5
0.5,0,896.344,0.1,0.1,12.6
0.75,0,896.344,0.1,0.1,12.8
1,0,896.344,0.1,0.1,13.1
1.25,0,896.344,0.1,0.1,13.3
1.5,0,896.344,0.1,0.1,13.5
1.75,0,896.344,0.2,0.2,13.5
2,0,896.344,0.2,0.2,13.8
2.25,0,896.344,0.2,0.2,13.8
2.5,0,896.344,0.2,0.2,13.9
2.75,0,896.344,0.3,0.3,14.1
3,0,896.344,0.3,0.3,14.1
3.25,0,896.344,0.3,0.3,14.2
3.5,0,896.344,0.4,0.4,14.2
3.75,0,896.344,0.4,0.4,14.3
4,0,896.344,0.4,0.4,14.5
4.25,0,896.344,0.4,0.4,14.5
4.5,0,896.344,0.5,0.5,14.5
4.75,0,896.344,0.5,0.5,14.6
5,0,896.344,0.5,0.5,14.7
5.25,0,896.344,0.5,0.5,14.8
5.5,0,896.344,0.6,0.6,14.8
5.75,0,896.344,0.6,0.6,14.8
6,0,896.344,0.6,0.6,14.8
6.25,0,896.344,0.6,0.6,14.8
6.5,0,896.344,0.7,0.7,14.8
6.75,0,896.344,0.7,0.7,14.9
7,0,896.344,0.7,0.7,14.9
7.25,0,896.344,0.7,0.7,15
7.5,0,896.344,0.8,0.8,15.1
7.75,0,896.344,0.8,0.8,15.1
8,0,896.344,0.8,0.8,15.1
8.25,0,896.344,0.8,0.8,15.1
8.5,0,896.345,0.9,0.9,15.4
8.75,0,896.345,0.9,0.9,15.4
9,0,896.345,0.9,0.9,15.5
9.25,0,896.345,0.9,0.9,15.5
9.5,0,896.345,1,1,15.5
9.75,0,896.345,1,1,15.5
10,0,896.345,1,1,15.5
10.25,0,896.345,1,1,15.5
10.5,0,896.345,1.1,1.1,15.6
10.75,0,896.345,1.1,1.1,15.7
11,0,896.345,1.1,1.1,15.8
11.25,0,896.345,1.1,1.1,15.8
11.5,0,896.345,1.1,1.1,15.8
11.75,0,896.345,1.1,1.1,15.8
12,0,896.345,1.1,1.1,15.8
12.25,0,896.345,1.1,1.1,15.8
12.5,0,896.344,1.1,1.1,15.8
12.75,0,896.344,1.1,1.1,15.8
13,0,896.344,1.1,1.1,15.8
13.25,0,896.344,1.1,1.1,15.8
13.5,0,896.344,1.1,1.1,15.7
13.75,0,896.344,1.1,1.1,15.7
14,0,896.344,1.1,1.1,15.7
14.25,0,896.344,1.1,1.1,15.7
14.5,0,896.344,1.1,1.1,15.5
14.75,0,896.344,1.1,1.1,15.5
15,0,896.344,1.1,1.1,15.5
15.25,0,896.344,1.1,1.1,15.5
